DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
322,11,5.8069,7.471878,5.6498438,5.69909229,5.038,5.775404,8.76876
323,11,4.9549,7.541659,6.366073,4.85787034,4.615,4.89658,8.782799
324,11,5.5678,7.556047,5.684041,5.45291606,4.857,5.523364,8.796683
325,11,5.6248,7.931121,5.6630874,5.50983844,5.067,5.581736,8.810411
326,11,5.0867,7.498181,5.682978,5.017370242,4.695,5.067928,8.823981
327,11,4.7636,7.186085,5.3814546,4.685315589,4.463,4.726868,8.837391
328,11,5.3341,7.19709,6.005417,5.204255919,4.838,5.265812,8.850636
329,11,5.2708,7.38959,4.8514165,5.17791749,4.879,5.229772,8.863716
330,11,4.7602,7.74115,5.0063184,4.67635832,4.466,4.716868,8.876627
331,11,5.1098,7.751845,5.391581,5.002731932,4.757,5.048452,8.889366
332,11,5.6554,7.762115,5.588606,5.51708966,5.158,5.579832,8.901932
333,11,5.4822,7.303634,5.728392,5.37978788,4.937,5.444152,8.914318
334,11,5.0261,7.922602,4.5769507,4.947049483,4.603,4.999792,8.926525
335,12,5.1479,7.565038,5.132285,5.04962754,4.828,5.092268,8.938546
336,12,5.5635,7.573818,4.161365,5.4223333,4.799,5.500888,8.951769
337,12,5.496,7.076846,4.434844,5.41096774,4.778,5.485016,8.963459
338,12,5.7706,7.946705,4.858907,5.650785511,4.994,5.727684,8.974955
339,12,5.3187,7.647396,5.755736,5.24865817,4.847,5.30312,9.310207
340,12,5.3856,7.654397,4.433116,5.277355458,4.942,5.328,9.323353
341,12,4.9355,7.51266,5.132202,4.857880109,4.586,4.899024,9.336252
342,12,5.4989,7.977241,4.7135176,5.38066552,4.935,5.440348,9.348897
343,12,4.9824,8.079717,3.817453,4.8981842,4.673,4.938584,9.361286
344,12,5.0125,7.201018,3.8514011,4.916807006,4.487,4.972992,9.373405
345,12,4.7707,7.355521,3.4447139,4.7165781,4.383,4.758444,9.385256
346,12,4.9223,6.871312,4.0314443,4.855443607,4.592,4.89498,8.605143
